Dataset;Layer config;lr;Beta;Reset Mechanism;Timesteps;Accuracy;Precision;Recall;F1;Loss
MNIST;[784, 100, 10];0.0001;0.7000000000000001;subtract;128;0.794;0.822;0.792;0.785;0.163
FASHION_MNIST;[784, 100, 10];0.01;0.65;subtract;64;0.794;0.8;0.794;0.793;0.485
MNIST;[784, 20, 10, 10, 10];0.0001;0.7000000000000001;zero;64;0.793;0.803;0.79;0.788;0.534
FASHION_MNIST;[784, 20, 10, 10, 10];0.001;0.8500000000000001;zero;8;0.793;0.799;0.793;0.794;0.558
MNIST;[784, 100, 10];0.01;0.85;zero;64;0.793;0.824;0.79;0.784;0.261
MNIST;[784, 10, 10, 10];0.0001;0.45;zero;64;0.792;0.805;0.786;0.778;0.749
FASHION_MNIST;[784, 20, 10, 10, 10];0.001;0.6000000000000001;zero;16;0.79;0.807;0.79;0.784;0.505
FASHION_MNIST;[784, 10, 10, 10];0.01;0.7000000000000001;zero;128;0.789;0.801;0.789;0.786;0.566
MNIST;[784, 100, 10];0.0001;0.6000000000000001;subtract;128;0.788;0.803;0.785;0.778;0.179
FASHION_MNIST;[784, 100, 10];0.01;0.45;subtract;16;0.787;0.846;0.787;0.789;0.467
MNIST;[784, 20, 10, 10, 10];0.0001;0.9;zero;4;0.785;0.801;0.78;0.77;0.647
FASHION_MNIST;[784, 100, 10];0.001;0.9;subtract;128;0.785;0.805;0.785;0.774;0.381
FASHION_MNIST;[784, 100, 10];0.01;0.8500000000000001;zero;4;0.785;0.843;0.785;0.782;0.531
MNIST;[784, 20, 10, 10, 10];0.0001;0.6000000000000001;zero;4;0.784;0.805;0.779;0.772;0.701
FASHION_MNIST;[784, 10, 10, 10];0.01;0.6000000000000001;zero;64;0.783;0.764;0.783;0.753;0.618
MNIST;[784, 10, 10, 10];0.0001;0.45;subtract;32;0.78;0.79;0.773;0.757;0.815
MNIST;[784, 20, 10, 10, 10];0.0001;0.65;zero;32;0.78;0.794;0.777;0.772;0.558
MNIST;[784, 100, 10];0.0001;0.65;subtract;32;0.78;0.809;0.777;0.769;0.182
FASHION_MNIST;[784, 20, 10, 10, 10];0.01;0.6000000000000001;subtract;128;0.779;0.762;0.779;0.756;0.56
FASHION_MNIST;[784, 20, 10, 10, 10];0.0001;0.95;subtract;32;0.778;0.782;0.778;0.772;0.717
FASHION_MNIST;[784, 100, 10];0.01;0.55;subtract;64;0.777;0.851;0.777;0.779;0.501
MNIST;[784, 100, 10];0.0001;0.55;subtract;32;0.777;0.796;0.774;0.765;0.193
FASHION_MNIST;[784, 20, 10, 10, 10];0.0001;0.5;subtract;4;0.775;0.783;0.775;0.762;0.933
FASHION_MNIST;[784, 100, 10];0.01;0.7000000000000001;zero;32;0.775;0.854;0.775;0.765;0.522
MNIST;[784, 20, 10, 10, 10];0.0001;0.5;subtract;4;0.773;0.796;0.765;0.752;0.781
MNIST;[784, 20, 10, 10, 10];0.0001;0.55;zero;64;0.773;0.791;0.77;0.759;0.593
FASHION_MNIST;[784, 10, 10, 10];0.0001;0.55;subtract;128;0.772;0.759;0.772;0.753;0.739
MNIST;[784, 100, 10];0.001;0.95;zero;128;0.771;0.806;0.769;0.752;0.206
FASHION_MNIST;[784, 20, 10, 10, 10];0.0001;0.45;zero;128;0.768;0.772;0.768;0.762;0.866
MNIST;[784, 100, 10];0.0001;0.4;subtract;16;0.768;0.799;0.765;0.757;0.217
MNIST;[784, 10, 10, 10];0.1;0.7000000000000001;subtract;8;0.767;0.791;0.762;0.76;0.685
FASHION_MNIST;[784, 100, 10];0.01;0.6000000000000001;subtract;8;0.765;0.851;0.765;0.751;0.509
MNIST;[784, 10, 10, 10];0.1;0.6000000000000001;subtract;64;0.765;0.777;0.761;0.757;0.711
MNIST;[784, 100, 10];0.001;0.45;subtract;64;0.759;0.795;0.756;0.75;0.221
FASHION_MNIST;[784, 20, 10, 10, 10];0.01;0.65;zero;64;0.755;0.759;0.755;0.738;0.632
FASHION_MNIST;[784, 20, 10, 10, 10];0.0001;0.7000000000000001;zero;128;0.753;0.755;0.753;0.743;0.684
FASHION_MNIST;[784, 100, 10];0.001;0.9;zero;64;0.753;0.78;0.753;0.749;0.44
FASHION_MNIST;[784, 20, 10, 10, 10];0.0001;0.8500000000000001;zero;128;0.753;0.75;0.753;0.747;0.641
FASHION_MNIST;[784, 100, 10];0.001;0.75;zero;64;0.752;0.783;0.752;0.74;0.374
MNIST;[784, 10, 10, 10];0.1;0.4;zero;8;0.751;0.764;0.743;0.734;0.645
FASHION_MNIST;[784, 10, 10, 10];0.0001;0.9;zero;8;0.75;0.744;0.75;0.734;0.808
FASHION_MNIST;[784, 20, 10, 10, 10];0.01;0.45;zero;32;0.75;0.757;0.749;0.735;0.608
FASHION_MNIST;[784, 20, 10, 10, 10];0.01;0.55;subtract;32;0.749;0.765;0.749;0.712;0.586
MNIST;[784, 100, 10];0.0001;0.55;subtract;4;0.749;0.791;0.746;0.732;0.214
FASHION_MNIST;[784, 10, 10, 10];0.01;0.8;zero;16;0.748;0.755;0.749;0.728;0.673
FASHION_MNIST;[784, 100, 10];0.01;0.55;subtract;4;0.748;0.863;0.748;0.757;0.501
MNIST;[784, 100, 10];0.0001;0.75;zero;32;0.745;0.781;0.742;0.728;0.204
MNIST;[784, 100, 10];0.0001;0.75;subtract;4;0.744;0.784;0.741;0.725;0.216
MNIST;[784, 100, 10];0.001;0.9;zero;64;0.744;0.795;0.741;0.726;0.156
FASHION_MNIST;[784, 10, 10, 10];0.01;0.8500000000000001;zero;128;0.741;0.775;0.741;0.74;0.676
MNIST;[784, 100, 10];0.0001;0.8500000000000001;zero;8;0.741;0.785;0.738;0.721;0.241
FASHION_MNIST;[784, 100, 10];0.01;0.9;subtract;16;0.741;0.811;0.741;0.735;0.625
FASHION_MNIST;[784, 20, 10, 10, 10];0.001;0.8500000000000001;zero;16;0.74;0.744;0.74;0.738;0.539
FASHION_MNIST;[784, 100, 10];0.01;0.7000000000000001;subtract;16;0.74;0.824;0.74;0.741;0.527
FASHION_MNIST;[784, 100, 10];0.001;0.55;zero;128;0.739;0.773;0.739;0.716;0.356
MNIST;[784, 10, 10, 10];0.1;0.4;subtract;16;0.738;0.756;0.73;0.727;0.609
MNIST;[784, 100, 10];0.0001;0.7000000000000001;zero;32;0.737;0.775;0.734;0.718;0.198
FASHION_MNIST;[784, 20, 10, 10, 10];0.0001;0.6000000000000001;zero;4;0.737;0.747;0.737;0.721;0.888
FASHION_MNIST;[784, 20, 10, 10, 10];0.0001;0.7000000000000001;zero;64;0.737;0.737;0.737;0.728;0.698
MNIST;[784, 100, 10];0.1;0.4;subtract;128;0.736;0.803;0.732;0.727;0.348
FASHION_MNIST;[784, 20, 10, 10, 10];0.01;0.8;subtract;8;0.735;0.72;0.735;0.7;0.667
FASHION_MNIST;[784, 10, 10, 10];0.0001;0.95;subtract;32;0.735;0.738;0.735;0.721;0.754
FASHION_MNIST;[784, 20, 10, 10, 10];0.01;0.55;subtract;16;0.733;0.759;0.733;0.703;0.579
FASHION_MNIST;[784, 10, 10, 10];0.01;0.9;zero;4;0.733;0.775;0.733;0.711;0.65
MNIST;[784, 100, 10];0.0001;0.7000000000000001;zero;128;0.732;0.769;0.729;0.712;0.183
FASHION_MNIST;[784, 100, 10];0.01;0.45;zero;32;0.732;0.854;0.732;0.734;0.476
FASHION_MNIST;[784, 10, 10, 10];0.01;0.5;zero;16;0.731;0.73;0.732;0.694;0.651
FASHION_MNIST;[784, 20, 10, 10, 10];0.01;0.45;zero;8;0.728;0.709;0.727;0.702;0.617
MNIST;[784, 100, 10];0.0001;0.95;zero;4;0.727;0.776;0.723;0.705;0.238
MNIST;[784, 10, 10, 10];0.1;0.6000000000000001;subtract;32;0.725;0.719;0.719;0.706;0.752
FASHION_MNIST;[784, 10, 10, 10];0.01;0.8;subtract;32;0.723;0.713;0.723;0.67;0.711
MNIST;[784, 100, 10];0.1;0.7000000000000001;zero;4;0.72;0.757;0.716;0.692;0.417
FASHION_MNIST;[784, 20, 10, 10, 10];0.01;0.95;zero;4;0.719;0.732;0.719;0.67;0.688
MNIST;[784, 10, 10, 10];0.1;0.55;subtract;4;0.718;0.681;0.714;0.683;0.664
FASHION_MNIST;[784, 20, 10, 10, 10];0.01;0.5;zero;32;0.717;0.725;0.717;0.693;0.62
FASHION_MNIST;[784, 20, 10, 10, 10];0.01;0.95;zero;32;0.715;0.716;0.715;0.683;0.792
FASHION_MNIST;[784, 10, 10, 10];0.01;0.5;zero;32;0.715;0.723;0.715;0.682;0.627
MNIST;[784, 10, 10, 10];0.1;0.55;zero;8;0.714;0.733;0.711;0.686;0.784
FASHION_MNIST;[784, 20, 10, 10, 10];0.0001;0.65;zero;32;0.71;0.713;0.71;0.702;0.744
FASHION_MNIST;[784, 100, 10];0.01;0.85;zero;64;0.71;0.802;0.71;0.691;0.593
FASHION_MNIST;[784, 100, 10];0.001;0.8500000000000001;subtract;16;0.708;0.751;0.708;0.682;0.405
